id SMILES S0S1 S0T1 T1S1 OS
120 CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.6291 2.907485 -0.278385 0.000132
121 NC1=NC2=NC=NC3=NC=NC(=N1)N23 2.964788 3.17411 -0.209322 0.014191
122 CNC1=NC2=NC=NC3=NC=NC(=N1)N23 2.990932 3.187595 -0.196663 0.016011
123 C=CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.558106 2.823845 -0.265739 0.000215
124 C#CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.499777 2.755983 -0.256206 0.000611
125 [C-]#[N+]C1=NC2=NC=NC3=NC=NC(=N1)N23 2.562513 2.827327 -0.264814 0.000173
126 N#CC1=NC2=NC=NC3=NC=NC(=N1)N23 2.471574 2.701065 -0.229491 0.001255
127 CN(C)C1=NC2=NC=NC3=NC=NC(=N1)N23 2.997856 3.192096 -0.19424 0.015841
128 CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.582521 1.742269 -0.159748 0.002082
129 CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.586847 1.732186 -0.145339 0.004203
130 CC1=CC=C2C=CN=C3N=CC=C1N23 1.551297 1.68695 -0.135653 0.002829
131 CC1=CN=C2N=CC=C3C=CC=C1N23 1.535823 1.67019 -0.134367 0.003025
132 NC1=CC2=CC=NC3=NC=CC(=C1)N23 1.860428 2.040804 -0.180376 0.000112
133 NC1=CC2=CC=CC3=CC=NC(=N1)N23 1.858946 1.935786 -0.07684 0.013063
134 NC1=CC=C2C=CN=C3N=CC=C1N23 1.470889 1.53039 -0.059501 0.005723
135 NC1=CN=C2N=CC=C3C=CC=C1N23 1.438975 1.525267 -0.086292 0.003098
136 CNC1=CC2=CC=NC3=NC=CC(=C1)N23 1.903132 2.073918 -0.170786 0.000529
137 CNC1=CC2=CC=CC3=CC=NC(=N1)N23 1.915053 1.960937 -0.045884 0.015832
138 CNC1=CC=C2C=CN=C3N=CC=C1N23 1.471691 1.585218 -0.113527 0.00442
139 CNC1=CN=C2N=CC=C3C=CC=C1N23 1.457109 1.518973 -0.061864 0.002933
140 C=CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.451971 1.566546 -0.114575 0.005318
141 C=CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.515649 1.649598 -0.133949 0.005868
142 C=CC1=CC=C2C=CN=C3N=CC=C1N23 1.505694 1.646292 -0.140598 0.005109
143 C=CC1=CN=C2N=CC=C3C=CC=C1N23 1.507738 1.655458 -0.14772 0.00094
144 C#CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.417081 1.527511 -0.11043 0.005173
145 C#CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.455951 1.590832 -0.134881 0.003585
146 C#CC1=CC=C2C=CN=C3N=CC=C1N23 1.532167 1.681426 -0.149259 0.005722
147 C#CC1=CN=C2N=CC=C3C=CC=C1N23 1.55642 1.707537 -0.151117 0.000601
148 [C-]#[N+]C1=CC2=CC=NC3=NC=CC(=C1)N23 1.446965 1.57349 -0.126525 0.00474
149 [C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N23 1.510023 1.649476 -0.139453 0.003326
150 [C-]#[N+]C1=CC=C2C=CN=C3N=CC=C1N23 1.522848 1.672926 -0.150078 0.005055
151 [C-]#[N+]C1=CN=C2N=CC=C3C=CC=C1N23 1.552499 1.705106 -0.152607 0.000686
