SMILES EXCINT
CNC1=CN=C2N=CC=C3C=CC=C1N23 0.008448
C=CC1=CC2=CC=NC3=NC=CC(=C1)N23 0.009825
C=CC1=CC2=CC=CC3=CC=NC(=N1)N23 0.007634
C=CC1=CC=C2C=CN=C3N=CC=C1N23 0.007575
C=CC1=CN=C2N=CC=C3C=CC=C1N23 0.006254
C#CC1=CC2=CC=NC3=NC=CC(=C1)N23 0.009698
C#CC1=CC2=CC=CC3=CC=NC(=N1)N23 0.007252
C#CC1=CC=C2C=CN=C3N=CC=C1N23 0.007468
C#CC1=CN=C2N=CC=C3C=CC=C1N23 0.006245
[C-]#[N+]C1=CC2=CC=NC3=NC=CC(=C1)N23 0.009350
[C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N23 0.007117
[C-]#[N+]C1=CC=C2C=CN=C3N=CC=C1N23 0.007402
[C-]#[N+]C1=CN=C2N=CC=C3C=CC=C1N23 0.006252
N#CC1=CC2=CC=NC3=NC=CC(=C1)N23 0.011407
N#CC1=CC2=CC=CC3=CC=NC(=N1)N23 0.008188
N#CC1=CC=C2C=CN=C3N=CC=C1N23 0.007261
N#CC1=CN=C2N=CC=C3C=CC=C1N23 0.006179
CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23 0.005293
CN(C)C1=CC2=CC=CC3=CC=NC(=N1)N23 0.012370
CN(C)C1=CC=C2C=CN=C3N=CC=C1N23 0.008917
CN(C)C1=CN=C2N=CC=C3C=CC=C1N23 0.007067
CC1=CC2=CC=NC3=NC=NC(=C1)N23 0.007072
CC1=NC2=NC=NC3=CC=CC(=C1)N23 0.007973
CC1=NC2=CC=CC3=CC=NC(=N1)N23 0.008298
CC1=CC=C2N=CN=C3N=CC=C1N23 0.008328
CC1=CC=C2C=CN=C3N=CN=C1N23 0.008189
CC1=CN=C2N=CN=C3C=CC=C1N23 0.008309
NC1=CC2=CC=NC3=NC=NC(=C1)N23 0.006846
NC1=NC2=NC=NC3=CC=CC(=C1)N23 0.011944
NC1=NC2=CC=CC3=CC=NC(=N1)N23 0.014894
NC1=CC=C2N=CN=C3N=CC=C1N23 0.012767
NC1=CC=C2C=CN=C3N=CN=C1N23 0.013521
NC1=CN=C2N=CN=C3C=CC=C1N23 0.011060
CNC1=CC2=CC=NC3=NC=NC(=C1)N23 0.006689
CNC1=NC2=NC=NC3=CC=CC(=C1)N23 0.012766
CNC1=NC2=CC=CC3=CC=NC(=N1)N23 0.015816
CNC1=CC=C2N=CN=C3N=CC=C1N23 0.012770
CNC1=CC=C2C=CN=C3N=CN=C1N23 0.013994
CNC1=CN=C2N=CN=C3C=CC=C1N23 0.009534
C=CC1=CC2=CC=NC3=NC=NC(=C1)N23 0.010357
C=CC1=NC2=NC=NC3=CC=CC(=C1)N23 0.010408
C=CC1=NC2=CC=CC3=CC=NC(=N1)N23 0.006405
C=CC1=CC=C2N=CN=C3N=CC=C1N23 0.008056
C=CC1=CC=C2C=CN=C3N=CN=C1N23 0.010332
C=CC1=CN=C2N=CN=C3C=CC=C1N23 0.007687
C#CC1=CC2=CC=NC3=NC=NC(=C1)N23 0.010618
C#CC1=NC2=NC=NC3=CC=CC(=C1)N23 0.009649
C#CC1=NC2=CC=CC3=CC=NC(=N1)N23 0.006594
C#CC1=CC=C2N=CN=C3N=CC=C1N23 0.007963
C#CC1=CC=C2C=CN=C3N=CN=C1N23 0.009115
C#CC1=CN=C2N=CN=C3C=CC=C1N23 0.007666
[C-]#[N+]C1=CC2=CC=NC3=NC=NC(=C1)N23 0.010268
[C-]#[N+]C1=NC2=NC=NC3=CC=CC(=C1)N23 0.009122
[C-]#[N+]C1=NC2=CC=CC3=CC=NC(=N1)N23 0.006812
[C-]#[N+]C1=CC=C2N=CN=C3N=CC=C1N23 0.007926
[C-]#[N+]C1=CC=C2C=CN=C3N=CN=C1N23 0.008886
[C-]#[N+]C1=CN=C2N=CN=C3C=CC=C1N23 0.007487
N#CC1=CC2=CC=NC3=NC=NC(=C1)N23 0.012485
