SMILES S0S1 S0T1 T1S1 OS
CNC1=NC2=CC=CC3=CC=NC(=N1)N23 2.233835 2.239249 -0.005414 0.025277
CNC1=CC=C2N=CN=C3N=CC=C1N23 1.658449 1.710497 -0.052048 0.008035
CNC1=CC=C2C=CN=C3N=CN=C1N23 1.821866 1.731844 0.090022 0.010764
CNC1=CN=C2N=CN=C3C=CC=C1N23 1.823344 1.894888 -0.071544 0.004397
C=CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.806996 1.905545 -0.098549 0.006110
C=CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.862375 1.946068 -0.083693 0.013399
C=CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.795107 1.939727 -0.14462 0.003129
C=CC1=CC=C2N=CN=C3N=CC=C1N23 1.811802 1.933179 -0.121377 0.005159
C=CC1=CC=C2C=CN=C3N=CN=C1N23 1.756959 1.849627 -0.092668 0.012169
C=CC1=CN=C2N=CN=C3C=CC=C1N23 1.821056 1.941304 -0.120248 0.001532
C#CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.754005 1.849645 -0.09564 0.007089
C#CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.796640 1.878428 -0.081788 0.008667
C#CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.771864 1.906444 -0.13458 0.002029
C#CC1=CC=C2N=CN=C3N=CC=C1N23 1.840393 1.974439 -0.134046 0.005814
C#CC1=CC=C2C=CN=C3N=CN=C1N23 1.805377 1.923662 -0.118285 0.010482
C#CC1=CN=C2N=CN=C3C=CC=C1N23 1.835971 1.974319 -0.138348 0.001147
[C-]#[N+]C1=CC2=CC=NC3=NC=NC(=C1)N23 1.778641 1.890656 -0.112015 0.006699
[C-]#[N+]C1=NC2=NC=NC3=CC=CC(=C1)N23 1.823409 1.928674 -0.105265 0.006600
[C-]#[N+]C1=NC2=CC=CC3=CC=NC(=N1)N23 1.853621 1.978396 -0.124775 0.003028
[C-]#[N+]C1=CC=C2N=CN=C3N=CC=C1N23 1.827135 1.963232 -0.136097 0.005306
[C-]#[N+]C1=CC=C2C=CN=C3N=CN=C1N23 1.817019 1.935912 -0.118893 0.009173
[C-]#[N+]C1=CN=C2N=CN=C3C=CC=C1N23 1.852306 1.983041 -0.130735 0.001082
N#CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.701869 1.764700 -0.062831 0.008728
N#CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.799948 1.843007 -0.043059 0.005320
